Date,Month,Year,Gold NAV
3,1,2000,103.20
4,1,2000,100.20
5,1,2000,99.80
6,1,2000,99.40
7,1,2000,100.40
10,1,2000,100.20
11,1,2000,100.50
12,1,2000,100.40
13,1,2000,100.40
14,1,2000,100.80
17,1,2000,101.60
18,1,2000,101.80
19,1,2000,102.50
20,1,2000,102.60
21,1,2000,102.50
24,1,2000,102.40
25,1,2000,102.60
26,1,2000,101.90
27,1,2000,101.70
28,1,2000,102.20
31,1,2000,101.10
1,2,2000,100.90
2,2,2000,101.80
3,2,2000,101.60
4,2,2000,104.70
7,2,2000,111.50
8,2,2000,105.70
9,2,2000,110.00
10,2,2000,110.10
11,2,2000,111.10
14,2,2000,110.00
15,2,2000,108.50
16,2,2000,107.80
17,2,2000,108.70
18,2,2000,108.20
21,2,2000,108.80
22,2,2000,107.80
23,2,2000,107.70
24,2,2000,106.50
25,2,2000,104.90
28,2,2000,104.30
29,2,2000,104.70
1,3,2000,104.40
2,3,2000,103.30
3,3,2000,102.80
6,3,2000,102.90
7,3,2000,103.20
8,3,2000,103.70
9,3,2000,103.50
10,3,2000,103.40
13,3,2000,103.60
14,3,2000,102.90
15,3,2000,103.00
16,3,2000,102.40
17,3,2000,101.10
20,3,2000,101.80
21,3,2000,101.60
22,3,2000,102.60
23,3,2000,101.50
24,3,2000,101.60
27,3,2000,101.30
28,3,2000,100.10
29,3,2000,99.70
30,3,2000,98.30
31,3,2000,98.70
3,4,2000,99.00
4,4,2000,98.80
5,4,2000,100.30
6,4,2000,99.60
7,4,2000,99.90
10,4,2000,100.70
11,4,2000,100.80
12,4,2000,100.00
13,4,2000,100.40
14,4,2000,100.70
17,4,2000,100.60
18,4,2000,100.30
19,4,2000,100.40
20,4,2000,99.90
21,4,2000,99.90
24,4,2000,99.90
25,4,2000,99.80
26,4,2000,98.60
27,4,2000,98.50
28,4,2000,98.20
1,5,2000,98.20
2,5,2000,98.30
3,5,2000,98.40
4,5,2000,99.90
5,5,2000,100.20
8,5,2000,99.20
9,5,2000,98.70
10,5,2000,100.00
11,5,2000,99.30
12,5,2000,99.40
15,5,2000,98.90
16,5,2000,99.20
17,5,2000,98.20
18,5,2000,98.10
19,5,2000,98.20
22,5,2000,98.50
23,5,2000,98.60
24,5,2000,98.80
25,5,2000,98.70
26,5,2000,98.40
29,5,2000,98.70
30,5,2000,99.50
31,5,2000,99.20
1,6,2000,99.30
2,6,2000,102.80
5,6,2000,103.50
6,6,2000,105.40
7,6,2000,103.90
8,6,2000,104.60
9,6,2000,104.10
12,6,2000,104.20
13,6,2000,106.60
