Year,Month,Date,Calendar Date,P/E,P/B,DIV Yield,NAV,Week Day
2000,1,3,03/01/00,25.91,4.63,0.95,1688.44,2
2000,1,4,04/01/00,26.67,4.76,0.92,1737.75,3
2000,1,5,05/01/00,25.97,4.64,0.95,1692.25,4
2000,1,6,06/01/00,26.32,4.7,0.94,1715.37,5
2000,1,7,07/01/00,26.25,4.69,0.94,1710.81,6
2000,1,10,10/01/00,26.57,4.74,0.93,1731.65,2
2000,1,11,11/01/00,25.59,4.57,0.96,1667.54,3
2000,1,12,12/01/00,26.44,4.72,0.93,1723.01,4
2000,1,13,13/01/00,26.38,4.71,0.93,1719.40,5
2000,1,14,14/01/00,26.41,4.71,0.93,1720.83,6
2000,1,17,17/01/00,26.22,4.68,0.94,1709.01,2
2000,1,18,18/01/00,26.15,4.67,0.94,1703.81,3
2000,1,19,19/01/00,26.6,4.75,0.93,1733.66,4
2000,1,20,20/01/00,26.05,4.65,0.95,1697.87,5
2000,1,21,21/01/00,26.37,4.71,0.93,1718.55,6
2000,1,24,24/01/00,26.26,4.69,0.94,1711.13,2
2000,1,25,25/01/00,25.81,4.61,0.95,1682.28,3
2000,1,27,27/01/00,26.1,4.66,0.94,1700.84,5
2000,1,28,28/01/00,26.02,4.65,0.95,1695.75,6
2000,1,31,31/01/00,25.16,4.49,0.98,1639.66,2
2000,2,1,01/02/00,25.13,4.51,0.98,1643.15,3
2000,2,2,02/02/00,25.75,4.62,0.95,1683.98,4
2000,2,3,03/02/00,25.91,4.65,0.95,1694.48,5
2000,2,4,04/02/00,25.94,4.65,0.94,1696.44,6
2000,2,7,07/02/00,26.54,4.76,0.92,1735.52,2
2000,2,8,08/02/00,26.96,4.83,0.91,1763.25,3
2000,2,9,09/02/00,27.4,4.91,0.93,1792.42,4
2000,2,10,10/02/00,27.75,4.98,0.92,1815.28,5
2000,2,11,11/02/00,28.47,5.11,0.9,1862.80,6
2000,2,14,14/02/00,28.29,5.07,0.9,1850.60,2
2000,2,15,15/02/00,27.19,4.93,0.92,1806.10,3
2000,2,16,16/02/00,27.32,4.95,0.92,1815.17,4
2000,2,17,17/02/00,27.82,5.04,0.9,1848.06,5
2000,2,18,18/02/00,27.43,4.97,0.9,1822.28,6
2000,2,21,21/02/00,28,5.08,0.89,1860.15,2
2000,2,22,22/02/00,27.77,5.03,0.89,1844.82,3
2000,2,23,23/02/00,27.09,4.91,0.92,1799.58,4
2000,2,24,24/02/00,27.66,5.01,0.9,1837.34,5
2000,2,25,25/02/00,27.29,4.95,0.91,1814.48,6
2000,2,28,28/02/00,27.49,4.98,0.9,1827.32,2
2000,2,29,29/02/00,26.36,4.79,0.94,1755.45,3
2000,3,1,01/03/00,27.35,4.96,0.91,1816.87,4
2000,3,2,02/03/00,27.09,4.92,0.91,1799.73,5
2000,3,3,03/03/00,26.47,4.8,0.94,1756.72,6
2000,3,6,06/03/00,26.99,4.89,0.92,1791.20,2
2000,3,7,07/03/00,27.22,4.94,0.91,1806.31,3
2000,3,8,08/03/00,26.64,4.83,1.03,1769.35,4
2000,3,9,09/03/00,26.32,4.77,1.04,1748.01,5
2000,3,10,10/03/00,25.62,4.65,1.07,1701.82,6
2000,3,13,13/03/00,24.95,4.52,1.1,1657.17,2
2000,3,14,14/03/00,25.05,4.54,1.09,1663.91,3
2000,3,15,15/03/00,25.9,4.7,1.06,1720.24,4
2000,3,16,16/03/00,24.97,4.53,1.09,1658.76,5
2000,3,21,21/03/00,24.89,4.51,1.02,1652.81,3
2000,3,22,22/03/00,25.41,4.61,1.03,1688.46,4
2000,3,23,23/03/00,24.83,4.5,1.06,1650.01,5
2000,3,24,24/03/00,25.09,4.55,1.05,1667.16,6
2000,3,27,27/03/00,24.99,4.53,1.05,1660.15,2
2000,3,28,28/03/00,25.08,4.55,1.04,1666.15,3
2000,3,29,29/03/00,25.08,4.55,1.04,1655.16,4
2000,3,30,30/03/00,24.94,4.52,1.05,1645.86,5
2000,3,31,31/03/00,24.6,4.46,1.06,1623.50,6
2000,4,3,03/04/00,24.7,4.48,1.06,1630.20,2
2000,4,4,04/04/00,22.99,4.17,1.14,1516.91,3
2000,4,5,05/04/00,23.09,4.19,1.51,1529.32,4
2000,4,6,06/04/00,23.39,4.24,1.49,1548.83,5
2000,4,7,07/04/00,25.06,4.54,1.39,1659.91,6
2000,4,10,10/04/00,25.96,4.71,1.34,1719.44,2
2000,4,11,11/04/00,25.72,4.71,1.33,1731.86,3
2000,4,12,12/04/00,25.21,4.62,1.47,1699.60,4
2000,4,13,13/04/00,23.98,4.38,1.54,1620.58,5
2000,4,17,17/04/00,21.74,3.91,1.62,1540.44,2
2000,4,18,18/04/00,21.31,3.84,1.66,1509.76,3
2000,4,19,19/04/00,21.07,3.8,1.73,1500.09,4
2000,4,20,20/04/00,21.23,3.83,1.71,1511.51,5
2000,4,24,24/04/00,20.82,3.76,1.75,1481.99,2
2000,4,25,25/04/00,20.39,3.68,1.78,1451.51,3
2000,4,26,26/04/00,21.54,3.89,1.73,1533.98,4
